43.04329,0.00285,-15.24144
53.06535,0.0168,3.66089
52.95794,0.02084,19.31343
50.05006,0.04641,-3.54701
7.95927,0.01542,-41.18425
20.24168,0.04741,-63.05588
22.3741,0.05279,-34.23726
45.36101,0.12006,14.71157
10.24875,0.0301,-27.67017
33.92205,0.11129,-48.14193
30.07406,0.10531,9.18828
33.50702,0.12975,24.1242
42.5219,0.18098,-3.66945
46.76553,0.20552,24.74704
80.24461,0.41295,-51.62923
48.93537,0.2604,12.17822
37.72667,0.22961,31.22279
30.4781,0.18569,20.777
30.51202,0.19007,-9.29827
58.2871,0.41922,-66.90032
49.7495,0.37054,-0.18885
46.41547,0.36875,18.24869
39.21116,0.3276,19.12995
5.87103,0.05482,-14.73908
11.04175,0.1041,5.64682
32.99341,0.33963,6.41739
30.21133,0.32286,-31.31807
29.98851,0.39973,45.71488
30.26272,0.43802,2.48146
34.77932,0.55976,-18.80428
45.26537,0.77407,-41.57071
59.5557,1.02645,-55.91821
147.5563,2.63039,-45.11301
25.53476,0.48998,-39.81676
30.23988,0.58202,-32.51172
40.70835,0.78882,65.33361
124.5266,2.41501,-122.68306
13.28588,0.26537,-56.98485
131.58412,2.78329,158.16317
23.51364,0.50636,10.11415
8.01507,0.18081,8.24041
6.03769,0.13959,-14.82196
3.46535,0.08073,-2.64555
37.30928,0.88885,152.99436
25.91404,0.6189,-47.20098
41.68663,0.99678,17.03781
8.18796,0.20265,8.42611
75.4731,1.93166,3.64573
36.87725,0.95375,12.04043
65.35222,1.73605,-39.97471
7.18804,0.19811,-16.02952
74.9949,2.13672,7.65426
11.97684,0.34546,6.64763
225.20255,6.80487,-133.29038
52.56785,1.60815,33.9849
51.90886,1.65454,19.90029
29.72468,0.97814,-13.12899
20.89095,0.77111,6.56108
12.73574,0.49758,29.25201
39.33773,1.55346,20.62615
20.76924,0.82193,-10.64671
58.19248,2.33553,57.67845
47.48867,1.91662,30.25104
35.57829,1.5108,-22.10082
48.61411,2.08756,-32.56038
72.27821,3.18344,57.37317
48.23416,2.23789,-56.10085
25.35717,1.22623,-2.57153
40.90082,1.97798,3.73287
152.39038,7.51372,-57.73048
14.68444,0.7277,23.85172
29.33612,1.45679,17.26673
31.01218,1.55939,-36.52294
45.31395,2.29414,5.66867
19.55637,0.99018,-30.70402
47.81172,2.42717,8.72461
26.53896,1.35425,-21.69571
57.77607,2.97796,-18.30498
22.86487,1.20469,11.71635
87.69212,4.71283,-75.39097
39.14252,2.13734,10.18453
40.64217,2.22725,-24.32107
26.85718,1.47293,10.71152
62.55911,3.48406,5.45507
10.78441,0.60481,-17.22732
25.5922,1.45812,-25.79198
37.49383,2.15376,13.9537
9.44866,0.54662,25.08348
33.33902,1.95239,11.54594
21.74887,1.28137,-16.31501
25.35615,1.49686,-21.58555
